start,end,October,November,December,January,February,March,April,May,June,July,August,September,Total
1965,1966,NA,NA,NA,NA,NA,NA,11.3,8.35,19.5,96.9,57.8,34.9,NA
1966,1967,9.36,1.82,2.11,2.07,0.886,1.22,9.1,24.9,95,29.3,30.5,25.2,232
1967,1968,24,7.74,2.7,3.18,1.72,1.27,5.67,59.6,67.2,79.1,62.6,20.3,335
1968,1969,41.1,5.59,3.17,5.55,2.02,1.54,5.65,3.95,19.4,29.7,43.5,43.4,205
1969,1970,27.2,4.07,1.92,1.37,1.18,0.708,0.078,34.2,67.5,62.6,62.7,43.5,307
1970,1971,18.4,5.22,5.67,2.3,2.09,1.89,2.6,9.61,12.6,71.2,55.9,20.7,208
1971,1972,7.48,1.76,2.57,1.75,1.26,0.634,0.387,26.4,22.6,11.8,29.6,26.7,133
1972,1973,6.12,1.65,2.43,1.33,0.31,1.64,0.053,2.5,3.59,61.9,39.2,22.7,143
1973,1974,12.2,2.23,8.53,1.87,1.43,0.631,0.084,7.87,71.9,29.8,176,59.3,372
1974,1975,29.7,11.9,3.67,2.49,2.24,1.71,14.5,81.2,54.1,114,72.9,15.3,404
1975,1976,15.9,5.75,2.76,2.2,1.34,1.06,0.832,3.97,135,117,51.4,21.9,359
1976,1977,12.2,52.4,34.9,13.1,4.85,4.26,22.9,77.5,209,147,161,36.8,777
1977,1978,16.5,3.44,6.47,3.01,2.39,2.71,8.15,24.2,7.01,7.84,49.9,36.3,168
1978,1979,19.3,10.1,3.8,3.76,2.94,2.86,3.65,25.7,61.1,29.5,40.1,18.7,221
1979,1980,51.7,9.75,3.37,3.7,2.14,1.38,10.5,30,39.4,24.8,30.2,18.1,225
1980,1981,7.42,15.9,18.2,13.8,5.17,3.79,3.57,5.02,15.1,64.1,62.7,70.7,285
1981,1982,12.1,4.65,9.21,13.1,4.25,5.7,8.93,19,36.3,32.2,40.8,17.1,203
1982,1983,20.7,5.78,7.91,3.98,2.78,4.22,2.74,59.8,131,112,45.6,60.6,457
1983,1984,16.6,3.67,3.62,4.38,2.34,2.62,2.51,80.9,19.5,81.3,45.6,69.4,332
1984,1985,42.9,4.32,14.7,6.46,5.74,21.4,12.5,16.8,94.5,93.9,83.8,26.6,424
1985,1986,12.3,5.59,6.43,5.21,5.48,5.02,12.1,22.1,65,106,124,62.5,433
1986,1987,11,5.7,5.4,7.28,2.43,3.26,2.97,48.3,60.7,66.7,89.1,52.8,356
1987,1988,18.7,5.77,8.31,4.57,3.68,3.52,10.8,27.4,30.6,60.3,43.7,44.5,262
1988,1989,14.6,5.24,5.49,4.8,4.55,12.2,9.79,26.7,32.9,70.2,63.5,70.3,320
1989,1990,21.7,11.8,4.94,5.07,7.01,3.25,46.6,49.3,59.8,134,80.9,19.3,443
1990,1991,6.63,5.69,6.65,4.9,4.36,4.13,2.65,37.2,97.3,105,73,99.8,448
1991,1992,32.6,10.7,5.5,5.62,6.32,5.67,22.5,23.8,143,120,33.3,37.6,447
1992,1993,53,13.9,6.92,6.67,5.63,5.57,33.8,47.2,67.8,217,69.6,17.6,544
1993,1994,7.09,7.04,7.82,7.75,5.34,6.69,6.65,7.27,147,70.9,27.9,20.4,322
1994,1995,10.8,8.04,6.4,6.3,6.75,7.81,2.11,9.94,29.9,82,70,19.2,259
1995,1996,35.3,8.61,10.8,8.68,6.01,4.62,4.93,4.61,115,62.9,70.2,104,436
1996,1997,64.1,30.8,15.8,6.24,5.88,4.61,3.06,9.71,87.1,36.8,61.7,22,348
1997,1998,5.74,13.7,5.48,5.99,4.76,4.78,5.44,54.7,33.5,72.9,25.5,17.4,250
1998,1999,8.11,15.9,6.71,6.58,6.78,5.72,8.5,15.1,36.5,68.5,77.2,66.1,322
1999,2000,14.3,7.29,7.56,10.1,7.58,8.88,4.77,28.4,18.8,40.8,33.4,46.3,228
2000,2001,10.1,5.39,6.69,7.81,5.69,6.4,5.97,25.4,32,168,141,119,534
2001,2002,26.2,12.3,5.64,13.6,5.26,5.58,6.46,24.9,42,83.4,53.2,22.8,301
2002,2003,17.9,8.59,9.45,9.04,7.21,8.74,4.9,4.21,5.16,8.77,46.8,33.6,164
2003,2004,17.4,6.37,9.21,7.9,7.11,6.98,6.75,1.98,18.8,21.5,77.2,11,192
2004,2005,14.9,4.11,7.3,8.26,6.27,5.42,5.97,20.5,79.1,61.9,81.5,23.5,319
2005,2006,11.2,8.28,8,8.57,7.46,8.23,6.29,53.2,43.7,43.8,63.9,14.9,277
2006,2007,7.9,10.2,7.19,8.45,6.7,5.85,8.42,59.5,82,70.2,64.4,29.7,361
2007,2008,9.17,10.9,8.05,9.85,10.4,7.39,4.1,11.6,35.5,76,67.1,155,405
2008,2009,38.6,26.7,10.1,9.78,9.11,7.98,6.2,12.5,97.3,74.6,49.6,45.9,388
2009,2010,19.4,78.9,10.1,10.9,10.4,8.21,5.61,42.4,41.2,30.2,31.8,14.7,304
2010,2011,17.6,10.6,15,14.5,11.6,8.76,6.9,7.49,29.5,14.5,12,19.2,168
2011,2012,8.43,6.22,7.64,10.7,9.59,10.4,5.08,7.35,26.4,49.2,104,56,301
2012,2013,28,7.89,10.9,11,10,9.09,7.14,6.89,43,73.5,292,139,639
2013,2014,23.8,79.5,14.8,13.9,9.45,6.95,6.01,12.5,103,76.4,84.5,28.6,459
2014,2015,8.27,8.43,11,11.2,9.47,9.63,7.81,4.41,12.1,37.9,25.7,14.2,160
2015,2016,6.96,11.9,17.5,18.7,15.1,12.8,7.15,4.07,22.8,32.3,19.4,9.76,179
2016,2017,7.56,8.1,10.1,9.15,5.49,5.08,2.38,1.31,10.3,5.91,8.65,4.02,78.1
2017,2018,4,7.85,9.09,8.33,0.155,0.07,5.81,6,26.2,24,13.8,26,131
2018,2019,8.15,6.4,8.49,8.13,6.68,4.59,4.26,4.86,8.82,70.2,44.5,10.4,186
2019,2020,22.9,8.66,7.71,8.35,8.22,7.81,4.49,6.29,17.1,44.1,50,60.9,247
2020,2021,14.4,13.6,10.5,13.9,8.86,7.86,5.1,13.2,32.5,104,66.3,35.3,326
2021,2022,16.6,11,9.01,8.19,6.15,4.74,3.93,5.3,15.2,16.7,26.7,15.4,139